               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.060384,            0.022173,            0.012311,             0.76615,             0.72777,             0.65029,             0.29073,            0.064276,            0.014065,            0.021763,            0.008911,            0.008911,            0.008911
                 112,            0.059862,            0.022582,            0.013591,             0.80412,             0.68333,             0.76099,             0.39035,             0.06725,            0.013545,            0.021622,           0.0089011,           0.0089011,           0.0089011
                 113,            0.067564,            0.022931,            0.012423,             0.86799,                0.75,             0.78991,             0.33347,            0.059355,            0.014676,            0.021759,           0.0088912,           0.0088912,           0.0088912
                 114,            0.057635,            0.023189,            0.012718,             0.69104,                0.75,               0.661,             0.32079,            0.056502,            0.016159,            0.021828,           0.0088813,           0.0088813,           0.0088813
                 115,            0.052104,            0.023019,            0.012392,             0.49154,             0.88333,             0.67149,             0.24152,            0.060745,            0.016643,            0.021591,           0.0088714,           0.0088714,           0.0088714
                 116,            0.058726,            0.024474,            0.012139,             0.66874,                0.75,             0.74891,             0.30966,            0.054844,            0.017044,            0.021393,           0.0088615,           0.0088615,           0.0088615
                 117,            0.053215,            0.023277,             0.01217,             0.65136,                0.75,             0.70325,              0.2322,            0.058256,            0.018222,            0.020905,           0.0088516,           0.0088516,           0.0088516
                 118,            0.051964,            0.021271,            0.011915,             0.73847,             0.69765,             0.77579,             0.33172,            0.054836,            0.016066,            0.021362,           0.0088417,           0.0088417,           0.0088417
                 119,            0.053322,            0.021882,            0.012627,             0.45075,             0.81667,             0.66295,              0.2934,             0.05743,            0.017484,            0.021275,           0.0088318,           0.0088318,           0.0088318
                 120,            0.054332,            0.024148,             0.01215,             0.54404,             0.88333,             0.80682,             0.34019,            0.059583,             0.01482,            0.021629,           0.0088219,           0.0088219,           0.0088219
                 121,            0.057825,            0.027694,            0.011629,             0.67549,                0.75,             0.74415,             0.31166,            0.059338,            0.016836,            0.022167,            0.008812,            0.008812,            0.008812
                 122,            0.057988,             0.02277,            0.012571,             0.68464,             0.81667,             0.82492,             0.32936,            0.053189,            0.015161,            0.022224,           0.0088021,           0.0088021,           0.0088021
                 123,            0.050469,            0.020609,            0.011022,             0.79307,             0.74495,              0.7271,              0.3106,            0.058478,            0.015724,             0.02248,           0.0087922,           0.0087922,           0.0087922
                 124,            0.054651,            0.022691,            0.011394,             0.75443,             0.81667,             0.82579,             0.22915,            0.063984,            0.016024,            0.021961,           0.0087823,           0.0087823,           0.0087823
                 125,            0.058019,            0.023556,            0.011628,             0.68993,             0.88333,             0.83783,             0.36095,            0.054654,            0.014952,            0.021877,           0.0087724,           0.0087724,           0.0087724
                 126,            0.052591,             0.02033,            0.011571,             0.71968,             0.87996,             0.83485,             0.28447,            0.057217,            0.015638,            0.022152,           0.0087625,           0.0087625,           0.0087625
                 127,            0.052415,            0.023194,            0.010209,             0.69137,             0.81667,             0.78459,             0.39136,            0.055985,            0.014928,            0.022278,           0.0087526,           0.0087526,           0.0087526
                 128,             0.05234,            0.022871,            0.011135,              0.5528,             0.86809,             0.68251,             0.22991,            0.061925,            0.015822,            0.022369,           0.0087427,           0.0087427,           0.0087427
                 129,            0.054603,            0.020681,            0.011537,             0.59083,             0.81667,             0.84097,             0.48988,             0.05154,             0.01453,            0.022694,           0.0087328,           0.0087328,           0.0087328
                 130,             0.04745,            0.021413,            0.011423,             0.70242,             0.85659,             0.89319,             0.46719,            0.052339,             0.01519,            0.022579,           0.0087229,           0.0087229,           0.0087229
                 131,            0.048409,            0.021409,            0.010868,              0.6999,             0.88333,              0.8201,             0.38721,               0.055,            0.015342,            0.022949,            0.008713,            0.008713,            0.008713
                 132,            0.045877,            0.020826,            0.010233,             0.64752,             0.88333,             0.82361,             0.44423,            0.050598,            0.015685,            0.022785,           0.0087031,           0.0087031,           0.0087031
                 133,            0.049109,            0.021286,            0.010552,             0.48876,             0.81667,             0.74908,             0.29839,            0.062499,            0.015111,            0.023006,           0.0086932,           0.0086932,           0.0086932
                 134,            0.056759,            0.020441,             0.01023,             0.68494,             0.88333,             0.85932,             0.44869,            0.050518,             0.01433,            0.022346,           0.0086833,           0.0086833,           0.0086833
                 135,            0.050546,            0.022582,            0.011348,             0.68453,             0.85185,             0.76684,             0.39057,            0.051593,            0.014102,            0.022934,           0.0086734,           0.0086734,           0.0086734
                 136,            0.050396,            0.022328,            0.010203,               0.579,             0.71667,             0.71428,             0.25532,            0.065839,            0.014557,            0.022499,           0.0086635,           0.0086635,           0.0086635
                 137,            0.056734,            0.023328,            0.010624,             0.64729,             0.81667,             0.74697,             0.34741,            0.052565,            0.013912,            0.022778,           0.0086536,           0.0086536,           0.0086536
                 138,              0.0464,            0.023541,            0.010371,             0.57351,             0.81667,             0.73119,             0.34521,            0.050466,            0.014734,            0.022018,           0.0086437,           0.0086437,           0.0086437
                 139,            0.044999,             0.02113,            0.010379,             0.50302,             0.88333,             0.73217,             0.34044,            0.054267,            0.015089,            0.022137,           0.0086338,           0.0086338,           0.0086338
